sample_name	unit_name	fq1	fq2	sra	adapters
SRR3725515	NA	NA	NA	SRR3725515	NA
SRR3725546	NA	NA	NA	SRR3725546	NA
SRR3725604	NA	NA	NA	SRR3725604	NA
SRR3725396	NA	NA	NA	SRR3725396	NA
SRR3725413	NA	NA	NA	SRR3725413	NA
SRR3725434	NA	NA	NA	SRR3725434	NA
SRR3725456	NA	NA	NA	SRR3725456	NA
SRR3725480	NA	NA	NA	SRR3725480	NA
SRR3725506	NA	NA	NA	SRR3725506	NA
SRR3725551	NA	NA	NA	SRR3725551	NA
SRR3725605	NA	NA	NA	SRR3725605	NA
SRR3725377	NA	NA	NA	SRR3725377	NA
SRR3725382	NA	NA	NA	SRR3725382	NA
SRR3725448	NA	NA	NA	SRR3725448	NA
SRR3725483	NA	NA	NA	SRR3725483	NA
SRR3725501	NA	NA	NA	SRR3725501	NA
SRR3725512	NA	NA	NA	SRR3725512	NA
SRR3725520	NA	NA	NA	SRR3725520	NA
SRR3725541	NA	NA	NA	SRR3725541	NA
SRR3725556	NA	NA	NA	SRR3725556	NA
SRR3725600	NA	NA	NA	SRR3725600	NA
SRR3725602	NA	NA	NA	SRR3725602	NA
SRR3725411	NA	NA	NA	SRR3725411	NA
SRR3725417	NA	NA	NA	SRR3725417	NA
SRR3725445	NA	NA	NA	SRR3725445	NA
SRR3725478	NA	NA	NA	SRR3725478	NA
SRR3725488	NA	NA	NA	SRR3725488	NA
SRR3725555	NA	NA	NA	SRR3725555	NA
SRR3725603	NA	NA	NA	SRR3725603	NA
SRR3725383	NA	NA	NA	SRR3725383	NA
SRR3725443	NA	NA	NA	SRR3725443	NA
SRR3725498	NA	NA	NA	SRR3725498	NA
SRR3725539	NA	NA	NA	SRR3725539	NA
SRR3725542	NA	NA	NA	SRR3725542	NA
SRR3725601	NA	NA	NA	SRR3725601	NA
SRR3725386	NA	NA	NA	SRR3725386	NA
SRR3725389	NA	NA	NA	SRR3725389	NA
SRR3725393	NA	NA	NA	SRR3725393	NA
SRR3725427	NA	NA	NA	SRR3725427	NA
SRR3725437	NA	NA	NA	SRR3725437	NA
SRR3725467	NA	NA	NA	SRR3725467	NA
SRR3725476	NA	NA	NA	SRR3725476	NA
SRR3725545	NA	NA	NA	SRR3725545	NA
SRR3725424	NA	NA	NA	SRR3725424	NA
SRR3725485	NA	NA	NA	SRR3725485	NA
SRR3725517	NA	NA	NA	SRR3725517	NA
SRR3725454	NA	NA	NA	SRR3725454	NA
SRR3725554	NA	NA	NA	SRR3725554	NA
SRR3725430	NA	NA	NA	SRR3725430	NA
SRR3725439	NA	NA	NA	SRR3725439	NA
SRR3725449	NA	NA	NA	SRR3725449	NA
SRR3725479	NA	NA	NA	SRR3725479	NA
SRR3725499	NA	NA	NA	SRR3725499	NA
SRR3725508	NA	NA	NA	SRR3725508	NA
SRR3725650	NA	NA	NA	SRR3725650	NA
SRR3725379	NA	NA	NA	SRR3725379	NA
SRR3725381	NA	NA	NA	SRR3725381	NA
